Movie_id,Movie_name,Movie_rating,watch_count,adventure,animation,children,comedy,fantasy,romance,drama,action,crime,thriller,horror,mystery,sci-fi,imax,documentary,war,musical,western,film-noir,(no genres listed)
1,toy story (1995),3.9,49695,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,jumanji (1995),3.2,22243,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,grumpier old men (1995),3.2,12735,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,waiting to exhale (1995),2.9,2756,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,father of the bride part ii (1995),3.1,12161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,heat (1995),3.8,23899,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
7,sabrina (1995),3.4,12961,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tom and huck (1995),3.1,1415,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,sudden death (1995),3,3960,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,goldeneye (1995),3.4,29005,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,"american president, the (1995)",3.7,18162,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,dracula: dead and loving it (1995),2.6,3845,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,balto (1995),3.3,1461,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,nixon (1995),3.4,6022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,cutthroat island (1995),2.7,2910,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,casino (1995),3.8,17394,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,sense and sensibility (1995),4,20667,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,four rooms (1995),3.4,5203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ace ventura: when nature calls (1995),2.6,20938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,money train (1995),2.9,4084,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,get shorty (1995),3.6,24116,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,copycat (1995),3.3,9928,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
23,assassins (1995),3.1,4250,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24,powder (1995),3.2,7971,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,leaving las vegas (1995),3.7,21553,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
